"name"	"longitude"	"latitude"	"subspecies"	"medius"	"bellii"	"arizonae"	"pusillus"	"numSubsppGroups"	"assigned"
"Vireo bellii Audubon, 1844"	-97.17	26.14	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-101.21	30.69	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.12	25.9	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.13	25.91	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.21	25.79	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.4	25.72	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-116.92	32.97	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-116.89	32.85	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.58	26.55	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.05	32.97	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.41	43.21	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.53	33.06	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.09	32.42	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.03	32.48	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.87	20.67	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-109.82	23.55	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.21	23.48	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-114.49	32.82	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.72	19.22	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-96.26	15.78	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-105.46	20.77	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-109.53	28.46	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-107.21	24.86	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-97.09	15.87	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-105.29	21.53	"unknown"	0	0	0	0	0	"none"
