"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"bilineata"	"belvederei"	"deserticola"	"grisea"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata"	-97.81	27.98	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.56	26.2	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.22	26.13	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.44	26.48	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.55	26.5	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.58	26.58	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.51	26.5	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.53	26.54	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.41	26.48	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.53	26.52	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.46	26.49	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.48	26.56	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.38	26.39	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.52	26.61	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.24	27.94	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.14	26.2	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.14	26.59	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.47	26.62	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.61	26.49	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.38	25.53	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.39	25.52	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.04	26.53	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.55	25.71	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.53	26.65	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.49	26.63	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.53	26.64	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.8	26.47	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.76	26.44	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.01	26.79	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.36	25.77	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.45	25.79	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.69	25.69	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.91	27.95	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.43	25.54	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.56	25.78	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.54	26.63	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.48	26.57	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.44	26.11	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.56	26.44	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-97.47	25.6	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.51	26.63	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.6	26.52	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.08	26.42	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.17	26.55	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.17	26.56	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.65	26.26	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.48	26.55	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.57	26.64	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.49	26.19	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.08	26.5	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.53	26.63	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.58	26.45	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.55	26.64	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.82	26.38	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-97.4	26.13	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-97.42	27.75	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-97.69	26.19	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-97.48	25.93	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-97.51	26.13	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-97.48	26.07	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata bilineata"	-97.62	26.46	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata bilineata"	-97.51	26.13	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-97.49	26.12	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-97.47	25.95	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-97.51	27.54	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-97.34	26.07	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.16	26.86	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-97.45	25.99	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-97.2	26	"unknown"	1	0	0	0	0	1	"bangsi"
