"name"	"longitude"	"latitude"	"subspecies"
"Geococcyx californianus (Lesson, 1829)"	-111.844013	33.606173	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-122.092968	38.743645	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-112.331261	33.739104	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.729233	32.281383	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.729144	32.281425	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-119.352622	34.406157	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.007775	32.106936	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.3975	31.963608	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.624012	35.086352	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.875939	33.795859	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-96.80225	32.44836	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.813705	32.313312	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-99.803041	20.685064	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.641173	35.194309	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.811826	32.314642	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.813573	32.321199	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-98.206472	30.552172	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-114.613686	32.726186	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.815597	32.309713	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.767358	33.236547	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.855347	30.216162	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.516072	33.790483	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.638885	35.194458	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.767333	33.239521	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.817356	32.315119	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.478812	26.016826	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.391157	33.216807	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.291314	33.965963	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.242458	34.011026	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.017613	36.100504	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.957944	36.48497	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.848708	33.653533	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-112.247947	33.613858	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.76764	33.236858	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.986825	32.72307	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.962607	32.681558	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.627922	34.408589	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-99.08284	19.587261	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-119.792919	34.422754	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.502289	33.801906	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.12693	33.763729	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.423302	31.54783	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.495573	33.905843	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-118.833437	34.298705	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.622053	35.099383	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-96.370665	30.574364	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-118.810692	34.222546	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-102.954145	29.179192	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.967521	32.290166	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.107967	36.069147	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.022997	36.101178	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.760372	34.548983	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.021865	36.100262	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-103.421933	29.292659	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.44989	35.023983	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.744288	32.342592	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-102.955814	29.180192	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-102.917048	29.201191	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.010829	32.996363	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.82157	32.30933	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.201968	33.679874	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.353356	33.773631	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.409167	33.780389	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.408889	33.781139	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-99.070328	21.941268	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.841036	33.661893	"unknown"
