"name"	"longitude"	"latitude"	"subspecies"	"californianus"	"numSubsppGroups"	"assigned"
"Geococcyx velox (Wagner, 1836)"	-95.27	16.13	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-91.13	15.38	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.53	19.76	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.51	17.01	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.9	14.33	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.55	19.21	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.91	14.32	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-99.53	18.59	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-98.94	18.54	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-93.17	15.91	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-93.28	16.83	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.49	13.3	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.54	21.23	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.63	19.78	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-97.07	17.91	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.77	17.05	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.19	17.16	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.79	20.57	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-107.28	24.87	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.92	14.31	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.77	16.54	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-91.21	14.74	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.34	19.37	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.27	14.11	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.17	17.31	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-108.72	27.07	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-91.8	15.69	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-91.83	15.74	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-99.31	18.94	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.71	19.63	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.71	19.62	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.59	14.64	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-99.3	18.82	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-91.39	15.93	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.76	16.52	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-91.31	15.83	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.57	14.77	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.64	20.88	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.25	13.26	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.72	19.61	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-90.6	14.34	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.76	14.77	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-92.54	16.55	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.84	16.6	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.84	16.58	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.53	17.31	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.81	16.52	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.86	15.07	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.88	14.56	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.75	17.17	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-99.05	18.97	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-104.27	19.59	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.57	20.8	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.71	15.05	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-90.61	14.51	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-90.33	15	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.87	13.94	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.24	13.94	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.66	14.05	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.94	16.45	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.8	19.46	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-99.11	18.75	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.69	15.06	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.67	17.04	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-95.87	16.67	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.8	21	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.76	17.19	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.14	21.57	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.76	17.2	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-93.32	16.4	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-99.51	18.9	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-101.63	18.88	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-103.15	20.34	"velox"	1	1	"californianus"
