"name"	"longitude"	"latitude"	"subspecies"	"campoi"	"mesata"	"mesoleuca"	"texana"	"numSubsppGroups"	"assigned"
"Melozone fusca (Swainson, 1827)"	-107.62	32.14	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.99	31.81	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-109.54	31.6	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-109.35	31.71	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.94	32.35	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-108.02	32.95	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.16	32.26	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.95	32.35	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.73	32.2	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.89	31.74	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.93	32.43	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.91	32.42	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.54	33.44	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.76	31.54	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-106.56	32.37	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.69	32.22	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-109.13	31.92	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.81	32.32	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.35	31.56	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.21	32.29	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-106.58	32.32	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-107.97	32.59	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.7	31.52	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.69	32.34	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.22	31.44	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-109.97	32.62	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.29	31.58	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-112.04	33.78	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-108.22	32.78	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-112.73	32.07	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.37	31.44	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.26	31.4	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.73	33.69	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.25	31.47	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.7	32.22	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.09	31.39	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.8	33.7	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-106.55	32.42	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.93	32.42	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.9	32.46	"unknown"	0	0	1	0	1	"mesoleuca"
