"name"	"longitude"	"latitude"	"subspecies"	"campoi"	"fusca"	"intermedia"	"mesata"	"mesoleuca"	"perpallida"	"potosina"	"texana"	"numSubsppGroups"	"assigned"
"Melozone fusca (Swainson, 1827)"	-107.96	36.06	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.41	20.75	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.19	24.89	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.75	20.05	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-112.81	31.94	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.51	20.75	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-106.57	32.32	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-106.59	32.33	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.93	35.54	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.24	19.7	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.37	29.21	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.59	36.43	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.12	19.81	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.8	33.77	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.16	19.65	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.12	19.14	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.11	19.14	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.11	19.15	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-106.6	32.34	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.01	19.25	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-106.43	36.25	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.3	29.28	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.31	29.28	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.09	25.24	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.5	31.47	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-106.48	35.1	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.73	20.04	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-106.48	35.08	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.68	20.38	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.89	35.54	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.73	20.02	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.66	22.58	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-106.75	32.47	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.96	25.09	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.92	35.62	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.55	25.35	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.94	25.29	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-102.49	22.6	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-102.59	27.22	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.45	25.19	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-104.27	23.95	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-104.28	32.44	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.72	29.49	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-107.94	36.07	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-102.35	22.18	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.79	33.65	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.21	20.8	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.24	20.71	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.34	20.79	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.34	20.78	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.64	20.38	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.21	20.76	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.31	29.26	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.4	20.79	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.17	38.44	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.18	19.7	"unknown"	0	0	0	0	0	0	0	0	0	"none"
