"name"	"longitude"	"latitude"	"subspecies"	"medius"	"numSubsppGroups"	"assigned"
"Vireo bellii Audubon, 1844"	-84.433809	39.290534	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.533059	33.832132	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.933263	33.628971	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.878757	33.662811	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-111.158526	33.279704	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.5586	26.549099	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.468415	32.110986	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.823939	33.665894	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.664324	30.712241	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.361922	42.682655	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.95211	33.72374	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-94.891153	38.880178	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-97.988457	30.384121	"unknown"	0	0	"none"
