"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"maculatum"	"oberholseri"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.01	27.03	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.95	27.02	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.89	27.01	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.99	27.11	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.93	27.12	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.92	27.59	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.91	27.86	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.79	27.02	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.08	27.02	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.69	26.9	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.68	26.9	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.05	27.3	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.7	26.97	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.77	27.98	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.85	27.59	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.52	27.21	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.58	26.95	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.29	25.97	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.62	27.02	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-110.85	27.97	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-110.8	27.96	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-110.81	27.96	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-110.39	27.75	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-110.44	27.77	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.25	27.23	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.26	27.23	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.25	26.35	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.4	27.15	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.94	27.5	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.09	26.82	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-110.87	27.92	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.23	26.42	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.62	26.41	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.17	25.91	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.94	28.62	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.3	26.95	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.92	27.09	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-110	27.08	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.13	26.35	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.93	28.62	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.62	28.62	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-110.58	28.62	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.72	28.58	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.97	27.48	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-110.9	27.92	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.97	27.02	"maculatum"	0	1	0	1	"maculatum"
