"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"curvirostre"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre (Swainson, 1827)"	-109.7	31.58	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.47	32.16	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.86	32.81	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.03	31.91	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.28	31.47	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.31	31.59	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.84	31.95	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.57	31.69	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.06	31.88	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.86	32.23	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.27	31.4	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.12	31.9	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.82	32.26	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.7	32.72	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.87	32.25	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.18	31.57	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.3	31.56	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.04	32.03	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.17	31.61	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.76	32.08	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.75	32.07	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.56	31.35	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-108.17	31.85	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.8	31.98	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.83	32.25	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.76	32.06	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.87	31.95	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.83	31.97	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.06	31.72	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.21	31.48	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.93	31.39	"unknown"	1	0	1	"celsum"
