"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"atlantica"	"beata"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-74.73	40.19	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.9	40.6	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.28	41.63	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.65	41.81	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.15	38.25	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.06	38.84	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.18	41.76	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-76.71	37.25	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.33	39.83	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.3	41.68	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.46	37.52	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.45	40.51	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.95	38.68	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.96	40.81	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.94	38.68	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.92	40.67	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-76.53	38.79	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.34	41.75	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.8	38.72	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.36	38.96	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia melodia"	-73.25	41.13	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.24	41.81	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.24	40.46	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.48	39.28	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-76.92	38.97	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.53	38.96	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.47	37.6	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.35	38.85	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.2	38.64	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-76.97	38.91	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.91	38.71	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.92	40.6	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.91	40.59	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.26	38.59	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.06	38.83	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.16	39.52	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.27	41.48	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.49	40.71	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.67	41.77	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.35	41.11	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.61	39.93	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.07	38.91	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.65	41.72	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-76.79	37.23	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.04	38.89	"unknown"	0	1	0	1	"atlantica"
