"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"atlantica"	"saltonis"	"numSubsppGroups"	"assigned"
"Melospiza melodia"	-116.99	33.96	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.1	32.59	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.08	33.05	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia saltonis"	-114.51	32.82	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia saltonis"	-110.79	31.51	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia saltonis"	-110.76	31.54	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia saltonis"	-110.76	31.5	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia saltonis"	-114.59	32.78	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia saltonis"	-114.62	32.73	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia saltonis"	-110.22	31.88	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia cooperi"	-116.79	33.5	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia saltonis"	-112.07	33.45	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia cooperi"	-116.6	33.15	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia cooperi"	-116.54	33.79	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia saltonis"	-116.07	33.57	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia cooperi"	-116.96	33.79	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia cooperi"	-116.4	33.36	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-110.81	32.32	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-110.04	33.09	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.66	33.55	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-110.45	33.27	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-110.45	33.23	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-110.72	32.86	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.48	32.85	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-110.87	32.26	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-114.14	34.3	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-114.39	34.07	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-114.62	32.73	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-112.07	33.45	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.9	33.51	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.74	33.08	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-114.59	32.76	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia saltonis"	-112.32	33.24	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia cooperi"	-117.01	32.86	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.1	32.35	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.13	32.37	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia montana"	-111.13	32.37	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia ficherella"	-111.13	32.37	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia montana"	-111.1	32.36	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia saltonis"	-114.66	33.57	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia montana"	-110.88	33.82	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-110.87	32.26	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia saltonis"	-114.56	32.78	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia saltonis"	-110.87	32.26	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia saltonis"	-114.68	33.43	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia saltonis"	-110.86	32.18	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-112.18	33.29	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-112.21	33.34	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-112.23	33.39	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-112.23	33.39	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-115.72	33.23	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.08	32.34	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-110.78	32.97	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-112.97	32.95	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-110.71	32.84	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-112.78	33	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.49	32.85	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-110.59	31.81	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax and Molothrus ater obscurus"	-111.74	33.08	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia montana"	-116.07	33.57	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-116.07	33.57	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia heermanni"	-117	34.13	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-111.91	33.41	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-115.97	33.69	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-114.53	33.62	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-114.7	33.33	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-114.68	33.23	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-114.5	33.01	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-114.47	32.89	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-114.49	32.82	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-114.54	32.78	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-114.53	32.77	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-114.72	32.72	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-114.75	32.73	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-115.53	33.05	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-115.62	33.17	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia heermanni"	-116.68	33.79	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia heermanni"	-116.52	33.79	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-114.71	33.42	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia montana"	-116.52	33.79	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia heermanni"	-116.91	34.19	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia heermanni"	-116.97	34.22	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia heermanni"	-117.07	34.14	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia heermanni"	-116.47	32.61	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia heermanni"	-117.08	32.64	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia heermanni"	-116.6	33.07	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia heermanni"	-116.6	32.95	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia heermanni"	-115.91	32.05	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia heermanni"	-116.74	32.39	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia heermanni"	-117.07	32.99	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia heermanni"	-117.09	34.06	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia montana"	-115.57	33.17	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-115.57	33.17	"unknown"	0	0	1	1	"saltonis"
