"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"atlantica"	"cleonensis"	"numSubsppGroups"	"assigned"
"Melospiza melodia cleonensis McGregor, 1899"	-124.15	40.78	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.43	42.32	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.26	40.58	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.06	40.54	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.2	41.76	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.07	42	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-123.92	40.71	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.16	40.79	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-123.5	42.19	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.19	40.78	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.13	40.96	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.19	40.82	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.05	41.55	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.21	41.76	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.2	41.75	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.16	40.8	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.16	40.7	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.19	40.79	"cleonensis"	0	0	1	1	"cleonensis"
