"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"atlantica"	"inexspectata"	"mailliardi"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-122.34	37.91	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.04	39.05	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-101.06	33.49	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-98.77	34.01	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-94.73	31.36	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-120.62	37.17	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-120.63	37.17	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-100.36	34.16	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.45	37.53	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.46	37.53	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-86.71	35.24	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-70.09	41.29	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-85.99	39.9	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.51	37.53	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-71.1	42.33	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.47	32.84	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-84.37	33.79	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.51	32.61	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.74	33	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.55	44.66	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.5	32.61	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-78.43	39.31	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-76.58	37.27	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-75.96	37.13	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-99.3	36.45	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-100.37	34.16	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.24	32.78	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-119.23	50.24	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-91.7	32.15	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-71.16	42.47	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.11	33.89	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-100.51	33.04	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.08	37.56	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.15	32.74	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-95.42	31.87	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.42	44.79	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-116.52	43.3	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.2	34	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-114.1	46.54	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.21	37.74	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-80.86	32.02	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-123.02	49.23	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-123.04	49.3	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.61	35.56	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.06	33.01	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.73	30.25	"unknown"	0	0	0	0	0	"none"
