"name"	"longitude"	"latitude"	"subspecies"	"beata"	"juddi"	"merrilli"	"pectoralis"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-122.33	47.71	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.64	47.35	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.84	47.44	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.91	47.04	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-124.04	46.61	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.35	47.8	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.39	47.81	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-117.27	47.78	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-121.95	49.24	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.2	47.98	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.12	47.91	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.11	47.69	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.28	47.65	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-117.21	47.62	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.71	47.08	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.93	47.13	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia morphna Oberholser, 1899"	-122.93	47.13	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.52	47.3	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.52	47.31	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-121.95	49.1	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia morphna Oberholser, 1899"	-122.9	47.06	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.04	49.1	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.71	47.07	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.26	49.03	"unknown"	0	0	1	0	1	"merrilli"
