"name"	"longitude"	"latitude"	"subspecies"	"atlantica"	"beata"	"kenaiensis"	"rivularis"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-75.17	40.24	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.61	39.31	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.51	40.75	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.86	40.64	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.96	40.79	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.96	40.75	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.43	40.69	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.05	40.01	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.97	40.69	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.45	41.1	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.52	39.93	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.15	41.69	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.95	41.07	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.18	40.96	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.48	39.29	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.05	40	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.43	41.25	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.24	40.15	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.49	39.28	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.49	39.75	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.88	41.01	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.27	40.48	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.25	41.67	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.33	40.82	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.45	40.58	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.27	40.98	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.93	40.86	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74	40.7	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.63	40.34	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.51	41.46	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.24	41.48	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.03	39.91	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.14	39.73	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.14	39.87	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.25	40.04	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.35	40.11	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.36	41.65	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.37	41.83	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.53	39.96	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71	41.63	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.17	40.74	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.16	40.74	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.46	41.45	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.95	40.94	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.5	40.16	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.23	40.86	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.23	40.16	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.45	40.86	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.38	40.27	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.08	40.14	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.04	40.8	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.49	39.27	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.98	40.36	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.93	40.87	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.29	41.52	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.46	39.07	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.28	39.79	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.62	40.84	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.07	40.12	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.21	40.52	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.8	40.5	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.21	42	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.74	41.8	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.8	40.38	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.15	39.98	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.11	41.3	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.56	39.73	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.28	40.19	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.12	41.04	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.08	41.35	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.5	40.41	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.25	41.81	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.87	40.64	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.19	41.55	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.16	41.16	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.35	39.91	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.27	39.98	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.44	40.45	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.18	39.79	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.24	40.46	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.06	40.81	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.14	39.95	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.24	41.3	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.19	40.85	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.04	39.81	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.5	40.65	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.57	40.87	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.28	41.79	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.28	41.48	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.37	40.7	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.25	40.72	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.35	40.67	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.13	41	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.96	41.32	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.21	39.86	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.45	40.64	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.28	39.95	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.44	40.12	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.58	41.16	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.81	40.17	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.49	39.43	"unknown"	1	0	0	0	1	"atlantica"
