"name"	"longitude"	"latitude"	"subspecies"	"medius"	"arizonae"	"numSubsppGroups"	"assigned"
"Vireo bellii"	-91.5	41.62	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.17	38.99	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.22	37.86	"unknown"	0	0	0	"none"
"Vireo bellii"	-92.77	41.12	"unknown"	0	0	0	"none"
"Vireo bellii"	-92.45	38.86	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.45	38.1	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.21	38.98	"unknown"	0	0	0	"none"
"Vireo bellii"	-103.01	42.82	"unknown"	0	0	0	"none"
"Vireo bellii"	-91.88	34.89	"unknown"	0	0	0	"none"
"Vireo bellii"	-84.96	46.77	"unknown"	0	0	0	"none"
"Vireo bellii"	-88.17	41.36	"unknown"	0	0	0	"none"
"Vireo bellii"	-76.97	38.92	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.49	36.45	"unknown"	0	0	0	"none"
"Vireo bellii"	-94.97	35.43	"unknown"	0	0	0	"none"
"Vireo bellii"	-92.43	38.85	"unknown"	0	0	0	"none"
"Vireo bellii"	-96.6	39.11	"unknown"	0	0	0	"none"
"Vireo bellii"	-100.78	41.12	"unknown"	0	0	0	"none"
"Vireo bellii"	-88.29	40.15	"unknown"	0	0	0	"none"
"Vireo bellii"	-95.84	35.79	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.57	36.11	"unknown"	0	0	0	"none"
"Vireo bellii"	-84.52	39.35	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.02	37.31	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.01	37.3	"unknown"	0	0	0	"none"
"Vireo bellii"	-91.19	14.39	"unknown"	0	0	0	"none"
"Vireo bellii"	-91.76	29.89	"unknown"	0	0	0	"none"
"Vireo bellii"	-82.55	27.27	"unknown"	0	0	0	"none"
"Vireo bellii"	-104.67	19.23	"unknown"	0	0	0	"none"
"Vireo bellii"	-84.35	39.36	"unknown"	0	0	0	"none"
"Vireo bellii"	-88.65	43.61	"unknown"	0	0	0	"none"
"Vireo bellii"	-104.73	19.34	"unknown"	0	0	0	"none"
"Vireo bellii"	-104.71	19.23	"unknown"	0	0	0	"none"
"Vireo bellii"	-80.23	26.63	"unknown"	0	0	0	"none"
