"name"	"longitude"	"latitude"	"subspecies"	"sinuatus"	"fulvescens"	"numSubsppGroups"	"assigned"
"Cardinalis sinuatus Bonaparte, 1838"	-99.13	26.58	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.27	28.45	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-97.78	27.29	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.91	32.34	"unknown"	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-112.49	26.99	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-99.05	26.41	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.37	29.21	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-107.61	32.19	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.34	26.19	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-99.28	30.66	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.12	28.61	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.14	29.27	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-99.15	26.58	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.96	29.43	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.11	25.87	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.87	32.33	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.15	32.24	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.86	31.45	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.11	25.88	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.03	29.33	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-107.96	30.6	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.8	31.5	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.97	32.34	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.83	31.03	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.98	29.58	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.06	28.09	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.28	31.7	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.13	25.88	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.65	26.04	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.99	32.47	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-109.16	31.9	"unknown"	0	0	0	"none"
