"name"	"longitude"	"latitude"	"subspecies"	"sinuatus"	"peninsulae"	"numSubsppGroups"	"assigned"
"Cardinalis sinuatus Bonaparte, 1838"	-105.19	31.95	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.91	32.75	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.68	30.09	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.93	32.5	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101	33.45	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.44	32.18	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.82	32.29	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.4	33.46	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.85	31.77	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.85	31.43	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.79	31.06	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.74	30.98	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.79	32.38	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.48	32.09	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.79	30.89	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-102.07	32.23	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.84	31.91	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-107.18	32.28	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.77	30.99	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.83	32.32	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.5	30	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.67	30.36	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.04	39.74	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.04	39.73	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.74	34.67	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.99	39.74	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.86	39.76	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.84	31.87	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-107.25	33.12	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-107.21	33.15	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.02	33.07	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.25	32.2	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.91	30.94	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.64	30.36	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-107.17	32.29	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.59	32.31	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.98	30.83	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.88	33.81	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.99	30.67	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.77	30.52	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.19	32.78	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.87	33.92	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.9	32.48	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.29	32.45	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.49	32.37	"unknown"	0	0	0	"none"
