"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"cardinalis"	"seftoni"	"numSubsppGroups"	"assigned"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.5	45.52	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.69	32.38	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.86	35.15	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-94.71	31.33	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.97	32.63	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.03	45.65	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.47	33.73	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.81	26.22	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.8	45.63	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-82.09	41.02	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.51	41.01	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.76	32.77	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.14	38.3	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-83.14	35.82	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.65	45.72	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-82.35	34.77	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.1	33.42	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.22	32.66	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-84.21	35.6	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-79.89	32.68	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.71	35.26	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-91.19	30.46	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-110.85	32.33	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.65	30.41	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-94.65	29.82	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-98.71	29.78	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-79.31	43.66	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-79.46	43.64	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.02	40.62	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-82.45	29.77	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-87.73	34.85	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-79.49	43.64	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-79.47	43.64	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-82.61	29.68	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-79.86	44.66	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.87	45.12	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-63.55	44.67	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.25	43.69	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.1	32.72	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.76	45.48	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-101	31.83	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.1	32.59	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-78.82	44.73	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-109.99	24.09	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-82.61	27.81	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.06	33.05	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.5	43.52	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.67	29.57	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.19	36.09	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.69	30.42	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.96	33.06	"unknown"	0	0	0	0	"none"
