"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"cardinalis"	"seftoni"	"numSubsppGroups"	"assigned"
"Cardinalis cardinalis (Linnaeus, 1758)"	-74	40.3	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.49	39.27	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.51	39.57	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.35	39.4	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-88.15	41.75	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-87.56	41.66	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-87.55	41.64	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.05	38.93	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.34	38.91	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.87	39.33	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.31	42.93	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.17	40.34	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.34	43.01	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-88.35	41.34	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-88.38	41.21	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-88.34	41.34	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-83.61	42.25	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.97	40.8	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.85	40.74	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-88.06	41.87	"unknown"	0	1	0	1	"cardinalis"
