"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"opuntia"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata (Cassin, 1850)"	-112.5	33.57	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.52	33.79	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.4	33.26	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.16	33.28	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.41	32.65	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.88	31.49	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.74	33.59	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.2	32.29	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.38	33.38	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.2	32.26	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.99	31.85	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.39	33.37	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.01	33.95	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-104.31	29.82	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-109.64	23.62	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.8	32.08	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.42	29.29	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.29	24.17	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.21	32.26	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.34	33.16	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.41	29.24	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.84	29.3	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.82	30.51	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.37	24.48	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.42	33.34	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.9	33.87	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-99.15	26.59	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.77	33.9	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.82	32.31	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.37	33.72	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-114.07	35.16	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.25	29.25	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.26	23.48	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.09	25.9	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.85	31.47	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.86	32.33	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-104.42	32.56	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.03	33.55	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.16	32.63	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.41	32.64	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.4	32.64	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.38	33.35	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-101.37	25.49	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.43	32.65	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-106.51	31.92	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.82	32.32	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.51	26.52	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.96	33.51	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.19	28.04	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.57	33.48	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.34	33.23	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.25	33.86	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.43	29.18	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.47	33.45	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-114.51	36.43	"unknown"	0	0	0	"none"
