"name"	"longitude"	"latitude"	"subspecies"	"sinuatus"	"fulvescens"	"peninsulae"	"numSubsppGroups"	"assigned"
"Cardinalis sinuatus Bonaparte, 1838"	-98.62	28.6	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.82	27.33	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-100.54	31.38	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.47	26.34	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-96.99	28.13	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.75	27.21	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.06	27.79	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.81	28	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-100	31.73	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.64	29.24	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.66	26.08	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-100.04	31.73	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-103.92	30.6	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.36	29.26	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.26	26.1	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.72	26.2	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.43	29.39	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-100.51	31.37	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-104.27	30.62	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-103.6	30.28	"unknown"	1	0	0	1	"sinuatus"
