"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-75.136767	38.297875	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.358174	38.939783	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-80.707183	35.260658	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-84.495667	34.114727	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.862024	28.04187	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-79.888682	32.684226	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.791938	45.455684	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-75.067233	40.328817	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.976365	33.064393	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.493947	44.606392	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-91.192084	30.461789	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-74.007789	40.893038	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-115.360526	36.438993	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.614501	30.461314	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-84.750762	39.290949	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.394796	33.803627	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-80.018905	40.612868	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-80.02176	40.615053	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-87.727626	34.913725	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-98.086512	30.21936	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.161075	32.751236	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-73.441995	41.418711	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.271061	34.122223	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-99.781167	32.701974	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-81.524192	41.123074	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.270965	34.121904	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.554467	44.671112	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.363293	30.67986	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.378288	34.014922	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.397102	34.458936	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-86.594356	30.40061	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.071594	37.435796	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.467933	36.781228	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-71.148808	42.409101	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.267857	34.194205	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-76.801192	39.026712	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-74.007828	40.893147	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-73.96576	40.668933	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-80.022697	40.494114	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.209326	37.423768	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.105929	37.460282	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.963966	33.062484	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-81.120575	34.109463	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.154596	38.895714	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.342286	38.930076	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.974321	33.066118	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-80.187615	36.100143	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-98.775153	33.652197	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.210352	34.200894	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.582895	38.22556	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.583067	38.225425	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-116.916486	32.77272	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.250787	32.891372	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-121.684546	37.999748	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-106.683991	35.130664	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.417013	33.970954	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-121.783902	39.753145	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-116.917879	32.858796	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.338324	37.910362	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.036781	39.054455	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-101.064683	33.486252	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-98.767012	34.00835	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-94.725647	31.357186	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-120.62121	37.168454	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-120.626558	37.169446	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-100.355443	34.161637	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-100.355807	34.161037	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-81.542878	40.930252	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.451033	37.529372	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.455925	37.528313	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-86.708573	35.23655	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-70.09028	41.289925	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.158489	32.754178	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-85.988789	39.903844	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.508253	37.528742	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-71.102979	42.328716	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.466691	32.836063	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-84.370067	33.791963	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.506242	32.60509	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-71.103104	42.32878	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-74.007836	40.893213	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.742099	32.999645	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.552348	44.655631	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.552378	44.656147	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.553661	44.657836	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.501526	32.610289	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-78.429629	39.307696	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.969327	33.066602	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-76.584812	37.274081	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-75.961603	37.129833	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-99.304075	36.451645	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-73.970505	40.652263	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-100.365593	34.162358	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.23857	32.775162	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-119.234303	50.241399	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-91.703608	32.148818	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-71.162496	42.468185	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.112138	33.892566	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.111583	33.892146	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-100.510138	33.041372	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.08479	37.561663	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.15305	32.735903	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-95.42072	31.870748	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.418143	44.7881	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.50827	37.528757	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.508251	37.528852	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-116.522915	43.298995	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.204962	33.996817	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-114.098502	46.540325	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.210515	37.742051	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-80.862547	32.019642	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-123.016874	49.227989	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-123.04159	49.295139	"unknown"	0	0	"none"
