"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"deserticola"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata bilineata"	-98.71	29.16	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-102.41	30.15	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.66	29.23	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.51	26.13	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.22	26.08	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.49	26.12	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.45	26.15	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.62	26.46	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.46	29.44	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.8	29.23	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-99.07	28.44	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.22	26.07	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-99.75	23.57	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.49	29.48	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.75	29.35	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-101.64	30.69	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.22	26.42	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.49	29.22	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.34	26.07	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.83	28.86	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.49	29.36	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.51	27.54	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.48	25.93	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.7	26.19	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-99.83	28.68	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-99.83	28.69	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-112.13	24.65	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-115.25	28.2	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-110.25	24.15	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-110.58	25	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-111.8	24.45	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-110.8	25.63	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-111.12	26	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-112.55	28.69	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-112.93	28.42	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-110.71	25.29	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-110.33	24.42	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-111.93	26.72	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-112.58	28.69	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-101.12	27.87	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-101.12	27.85	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-100.11	25.5	"bilineata"	0	1	1	"deserticola"
