"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata (Cassin, 1850)"	-116.538787	33.766584	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.375063	33.006908	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-99.804217	30.445786	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.085504	33.742425	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.554538	33.43794	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.692543	32.289066	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.307137	24.267837	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-99.070799	28.937894	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.110916	34.117845	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.841007	33.761644	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.161212	33.95234	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.682303	32.233788	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.525748	25.857028	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.697052	32.216158	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.929008	33.924778	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.336138	31.922515	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.526485	25.85603	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.427835	33.275641	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-99.071279	28.945533	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.198451	34.04124	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.721677	33.671791	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.746703	33.380419	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.808999	33.720203	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.380197	24.556323	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.14629	34.030831	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.059446	33.997784	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.597709	26.539662	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.331074	31.920665	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.553987	33.778575	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-99.07022	28.944616	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-99.070034	28.944508	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-99.071388	28.944681	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.882492	30.275172	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.417975	33.27023	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.404883	33.245862	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-97.895971	30.339422	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-106.729879	35.128189	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.775662	34.203828	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.53867	33.766532	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.634677	33.847772	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.676332	34.807473	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-106.449398	31.90496	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.771338	32.089672	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.557245	33.805628	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.318778	33.641912	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.817995	30.500478	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.150106	33.676821	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.117117	25.890797	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.498569	33.567057	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.515962	33.790816	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.399883	33.256353	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.159362	33.27958	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.406137	32.645138	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.878823	31.485386	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.735499	33.589061	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.204779	32.288412	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.379058	33.376208	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.20376	32.256526	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.993702	31.854251	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.67706	32.234453	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.392061	33.366257	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.81797	30.50043	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.305705	34.096527	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.00945	33.95217	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-104.306283	29.815594	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-109.636604	23.61669	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.803212	32.082981	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.330596	31.920485	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.421933	29.292659	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.29159	24.172545	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.211356	32.26258	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.211438	32.262607	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.336045	33.161718	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.405074	29.236148	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.843028	29.301206	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.819575	30.509024	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.370374	24.475529	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.422142	33.340595	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.900992	33.873415	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-99.151383	26.58867	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.766647	33.900395	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.680435	32.21721	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.819786	32.314178	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.374456	33.722245	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-114.069694	35.161092	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.250163	29.248162	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.2576	23.475	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.090831	25.896591	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.851945	31.470274	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.855976	32.330614	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-104.423887	32.56225	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.043706	33.776531	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.426917	33.242103	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.033425	33.551162	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.597802	26.539779	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.159246	32.631939	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.407378	32.644997	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.401518	32.644664	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.38205	33.350858	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-101.368156	25.487532	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.548972	33.778781	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.426873	32.645067	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-106.514568	31.918653	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.815383	32.317337	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.510153	26.521473	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-99.071347	28.944791	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.962335	33.513961	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.189387	28.039608	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.570655	33.483242	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.335142	33.226963	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.251112	33.860878	"unknown"	0	0	"none"
