"name"	"longitude"	"latitude"	"subspecies"	"leucophrys"	"nuttalli"	"numSubsppGroups"	"assigned"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-96.66	33.26	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115.13	35.99	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.75	34.77	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.98	44.64	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-110.33	31.92	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-98.35	28.47	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-82.08	36.99	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-111.15	33.27	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.38	48.42	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.46	48.43	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-82.48	29.77	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-98.08	34.27	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-79.39	39.38	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-78.69	35.8	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-114.14	36.62	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-98.56	34.07	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.69	30.84	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-110.76	31.54	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-111.99	33.72	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-103.12	29.34	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.49	35.13	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.71	47.08	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.6	35.57	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.02	43.82	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.38	41.37	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-99.28	30.66	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys leucophrys"	-96.18	32.29	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-94.14	38.47	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-93.94	38.49	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-104.85	39.84	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-96.91	33.78	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115.03	36.1	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.34	48.47	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.36	41.34	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-104.97	39.7	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115	36.08	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-98.56	33.85	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-96.64	32.54	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.17	44.3	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-101.68	34.96	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-80.45	37.21	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-75.8	39.31	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-85.23	41.16	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-80.18	41.31	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-111.91	40.67	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.4	33.67	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-106.45	31.94	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.79	49.29	"unknown"	0	0	0	"none"
