"Longitude" "Latitude" "wc2.1_10m_bio_1" "wc2.1_10m_bio_2" "wc2.1_10m_bio_3" "wc2.1_10m_bio_4" "wc2.1_10m_bio_5" "wc2.1_10m_bio_6" "wc2.1_10m_bio_7" "wc2.1_10m_bio_8" "wc2.1_10m_bio_9" "wc2.1_10m_bio_10" "wc2.1_10m_bio_11" "wc2.1_10m_bio_12" "wc2.1_10m_bio_13" "wc2.1_10m_bio_14" "wc2.1_10m_bio_15" "wc2.1_10m_bio_16" "wc2.1_10m_bio_17" "wc2.1_10m_bio_18" "wc2.1_10m_bio_19" "occ"
"2:31" -96.63 17.13 17.5868225097656 12.9134368896484 69.0364303588867 137.764343261719 26.8817501068115 8.17650032043457 18.705249786377 18.1563758850098 15.97350025177 19.2900009155273 15.8158750534058 747 154 5 87.9455718994141 384 22 263 36 1
"2:32" -100.78 19.95 16.4836463928223 15.4913749694824 65.053596496582 217.551986694336 28.3332500457764 4.51999998092651 23.8132495880127 17.4457511901855 16.339958190918 19.0504169464111 13.5836668014526 866 205 7 107.689720153809 554 27 200 34 1
"2:33" -101.76 21.29 17.4559688568115 16.1874370574951 62.367919921875 274.975494384766 30.1254997253418 4.1707501411438 25.9547500610352 19.8050422668457 16.9851665496826 20.4679584503174 13.8057498931885 567 132 5 99.7606582641602 349 25 260 33 1
"2:34" -99.19 19.28 12.4169273376465 13.9339790344238 71.2107162475586 152.546203613281 21.7325000762939 2.1652500629425 19.5672492980957 13.5515422821045 10.2922496795654 14.0395832061768 10.2922496795654 1100 222 11 94.6114654541016 634 40 312 40 1
"2:35" -100.18 19.22 17.5476970672607 14.7434377670288 69.0923233032227 148.234085083008 28.3332500457764 6.99450016021729 21.3387489318848 18.2127494812012 17.6746673583984 19.4986248016357 15.6816663742065 985 198 8 97.9250869750977 572 32 249 47 1
"2:36" -99.18 19.89 15.6282606124878 17.1354789733887 69.2559509277344 198.883102416992 27.1464996337891 2.40424990653992 24.7422504425049 17.1683750152588 12.9137496948242 17.7767086029053 12.9137496948242 590 119 7 85.7367553710938 320 24 183 24 1
"2:37" -104.99 20.31 20.1267604827881 14.4221878051758 67.4911727905273 209.39436340332 29.7754993438721 8.4064998626709 21.3689994812012 22.1944160461426 19.7764587402344 22.3437080383301 17.4372501373291 1410 340 4 115.548522949219 974 24 852 65 1
"2:38" -103.47 20.69 20.3275623321533 17.4876670837402 63.8201103210449 261.377197265625 33.7239990234375 6.32250022888184 27.4014987945557 22.4548740386963 19.7735424041748 23.1564998626709 16.8217506408691 861 227 3 118.11003112793 594 15 192 32 1
"2:39" -87.51 14.32 22.8296775817871 12.6646041870117 71.1135101318359 126.11589050293 32.1144981384277 14.3055000305176 17.8089981079102 23.0600833892822 21.9975833892822 24.2647914886475 21.1704578399658 1213 225 12 80.9566192626953 557 44 415 80 1
"2:40" -102.63 21.12 18.1942081451416 18.6352081298828 63.1985855102539 296.232604980469 32.1717491149902 2.68499994277954 29.4867496490479 20.9255428314209 17.3085842132568 21.5167503356934 14.2848749160767 745 205 2 119.325653076172 512 14 362 26 1
"2:41" -99.99 19.21 11.2075624465942 13.5126247406006 70.4837951660156 167.402313232422 19.9689998626709 0.797749996185303 19.1712493896484 12.5017080307007 9.38333320617676 12.801833152771 8.83249950408936 1119 216 12 91.1491928100586 623 47 499 47 1
"2:42" -97.61 18.47 16.164342880249 14.3362712860107 69.1963348388672 177.511245727539 26.5507507324219 5.83249998092651 20.7182502746582 17.7409591674805 13.835000038147 18.2243747711182 13.835000038147 498 116 3 92.0439987182617 251 15 206 15 1
"2:43" -88.13 13.96 22.2390727996826 11.533353805542 74.2112426757812 84.6969146728516 30.4112491607666 14.8699998855591 15.5412492752075 22.0837917327881 21.3306255340576 23.3481674194336 21.2147083282471 1911 368 3 91.8610992431641 942 16 311 61 1
