"name"	"longitude"	"latitude"	"subspecies"	"acaciarum"	"flaviceps"	"numSubsppGroups"	"assigned"
"Auriparus flaviceps"	-105.5	28.28	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.72	28.46	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.38	26.07	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-112.01	26.3	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.66	26.93	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.42	28.3	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-100.81	20.03	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-106.07	28.63	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.49	28.28	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.5	28.31	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.58	28.26	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.71	25.71	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-101.39	20.68	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.49	28.19	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.16	25.94	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-106.1	28.63	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.57	28.26	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.93	27.39	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.55	25.17	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.94	27.51	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-99.35	19.89	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.81	26.06	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-101.27	20.87	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.17	26.59	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-112.26	27.33	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-107.98	25.41	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.91	29.1	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.48	28.25	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-98.64	33.59	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.62	28.17	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.94	26.58	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.54	28.55	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.82	26.38	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.45	27.08	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.63	28.17	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-100.9	20.85	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.46	24.78	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-110	27.48	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.76	24.39	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-102.72	21.13	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-100.87	20.71	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.65	23.96	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.69	24.01	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-106.08	28.67	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-100.79	20.89	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-112.06	26.2	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.27	32.37	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.97	28.74	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.95	27.57	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.44	27.07	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.7	24.02	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.35	26	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.12	26	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.39	26.24	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.36	25.93	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-106.08	28.66	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.96	28.74	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-106.16	28.58	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.99	28.71	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.09	25.99	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.91	26.72	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.45	27.07	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.75	25.38	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.46	25.97	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-98.72	33.98	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.55	26.7	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.44	26.36	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.64	26.83	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-102.24	21.52	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.35	25.92	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.83	23.99	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.95	27.56	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.45	27.06	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.45	28.19	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.83	26.06	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.83	26.04	"unknown"	0	0	0	"none"
