"name"	"longitude"	"latitude"	"subspecies"	"leucophrys"	"numSubsppGroups"	"assigned"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.11552	37.463248	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.115897	37.463711	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.11634	37.464067	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.261527	37.884703	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.389378	33.852966	"unknown"	0	0	"none"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-117.235921	33.87565	"unknown"	0	0	"none"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-117.373051	33.804347	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.17623	34.19268	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.312537	37.889703	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.340944	41.387259	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.290114	41.227668	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.391906	41.253855	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.223511	41.383931	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.291002	41.369589	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.236313	34.081797	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.45012	33.959655	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.313087	37.867849	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.227081	33.1043	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.229139	33.102969	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.660328	34.196024	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-101.635895	24.547405	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.447233	37.728408	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.350504	38.553364	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.363724	33.983398	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.494556	37.786699	"unknown"	0	0	"none"
